attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma
54.0,90.0,210908.0,58245.0,30829.0,46462.0,9059.0,15743.0,7330.0,2704.0
47.0,74.0,139648.0,33729.0,1877.0,5124.0,6899.0,4062.0,940.0,550.0
44.0,84.0,119094.0,419177.0,159839.0,125727.0,35774.0,149973.0,16366.0,16840.0
47.0,97.0,2027152.0,333890.0,481185.0,124025.0,201890.0,103026.0,49721.0,20397.0
51.0,81.0,570092.0,787349.0,235311.0,65144.0,35244.0,211944.0,35807.0,19484.0
43.0,100.0,1182073.0,45122.0,21541.0,13791.0,4842.0,3673.0,3614.0,1231.0
44.0,100.0,1674937.0,139596.0,151421.0,111809.0,129581.0,109872.0,23289.0,4778.0
51.0,87.0,387746.0,96293.0,11748.0,15151.0,20207.0,26264.0,7222.0,1481.0
53.0,80.0,283523.0,16078.0,411.0,4047.0,4858.0,4197.0,1278.0,1014.0
53.0,80.0,1487339.0,37340.0,10797.0,19567.0,6824.0,24836.0,3947.0,413.0
66.0,67.0,801401.0,43129.0,3374.0,13449.0,5255.0,11623.0,1448.0,552.0
66.0,70.0,867182.0,90660.0,144261.0,56418.0,30883.0,67831.0,15627.0,6031.0
78.0,67.0,265859.0,39818.0,8269.0,5766.0,5425.0,34455.0,4882.0,1237.0
78.0,80.0,1085517.0,127885.0,88165.0,22614.0,55902.0,51077.0,30877.0,12303.0
74.0,90.0,759398.0,64849.0,27926.0,73167.0,49811.0,21559.0,9696.0,4402.0
61.0,61.0,658527.0,989281.0,40387.0,93911.0,92138.0,82354.0,35640.0,5034.0
44.0,75.0,220027.0,79883.0,43513.0,13581.0,20325.0,18065.0,2701.0,1963.0
26.0,54.0,1059991.0,432499.0,22103.0,38130.0,79153.0,19495.0,22941.0,5089.0
24.0,40.0,919517.0,100230.0,14418.0,21362.0,25700.0,14828.0,15178.0,5757.0
26.0,40.0,130440.0,120039.0,3050.0,18676.0,36903.0,11365.0,7859.0,2142.0
24.0,38.0,290343.0,250688.0,107381.0,21098.0,49645.0,38361.0,12014.0,8036.0
38.0,67.0,1007906.0,64848.0,18205.0,81786.0,11921.0,24592.0,5519.0,2870.0
50.0,74.0,21932.0,53752.0,11204.0,32171.0,25261.0,27573.0,7343.0,1298.0
57.0,88.0,248412.0,480565.0,30954.0,238522.0,221430.0,140043.0,19727.0,936.0
60.0,75.0,285012.0,35026.0,2866.0,3552.0,2582.0,5347.0,339.0,400.0
54.0,54.0,1411914.0,566030.0,47788.0,106762.0,41186.0,58510.0,16807.0,6376.0
51.0,54.0,942130.0,54141.0,14745.0,16795.0,22313.0,17170.0,5361.0,2874.0
44.0,60.0,103379.0,171835.0,61805.0,88714.0,92686.0,36459.0,11620.0,5767.0
26.0,54.0,896636.0,246562.0,11865.0,15513.0,9899.0,3112.0,4107.0,5376.0
35.0,60.0,68462.0,64231.0,27128.0,8125.0,27231.0,20676.0,9423.0,4541.0
37.0,63.0,150296.0,70320.0,24837.0,22512.0,6373.0,23809.0,11763.0,3001.0
43.0,63.0,534955.0,117164.0,22428.0,100518.0,76222.0,53699.0,13977.0,4546.0
69.0,78.0,44005.0,132049.0,30281.0,45653.0,65557.0,39477.0,9395.0,3975.0
67.0,88.0,412347.0,262953.0,294320.0,35917.0,103835.0,112928.0,37247.0,19699.0
66.0,81.0,1107449.0,214304.0,36390.0,46491.0,39756.0,56948.0,34446.0,3596.0
54.0,67.0,730091.0,336760.0,69551.0,19211.0,95656.0,23089.0,11467.0,5050.0
47.0,77.0,403362.0,27449.0,17617.0,12929.0,20987.0,4455.0,4454.0,632.0
53.0,69.0,103716.0,5207.0,3529.0,884.0,634.0,3633.0,688.0,111.0
61.0,74.0,838224.0,14236.0,2280.0,11078.0,15653.0,12901.0,3843.0,2628.0
61.0,74.0,1952302.0,204875.0,137276.0,158304.0,136151.0,160276.0,85788.0,35967.0
74.0,83.0,1188173.0,35430.0,11932.0,17709.0,23694.0,13388.0,3001.0,1539.0
83.0,83.0,646478.0,17307.0,11054.0,4430.0,2867.0,7832.0,3922.0,692.0
77.0,94.0,20504.0,13541.0,3498.0,23734.0,5342.0,7465.0,2034.0,1229.0
81.0,100.0,162873.0,11927.0,12574.0,10169.0,9234.0,28791.0,11145.0,1000.0
66.0,94.0,604563.0,95531.0,10052.0,20430.0,3794.0,4309.0,3246.0,2130.0
61.0,91.0,2572223.0,146386.0,23002.0,69344.0,26892.0,30479.0,14523.0,14223.0
57.0,81.0,1388818.0,144776.0,79181.0,29988.0,26250.0,37767.0,65626.0,10634.0
51.0,83.0,1056596.0,39214.0,26683.0,27948.0,36913.0,34374.0,7472.0,2606.0
63.0,96.0,310959.0,37080.0,9910.0,32623.0,4017.0,9908.0,12704.0,3185.0
57.0,96.0,105461.0,14809.0,5824.0,2164.0,1706.0,1789.0,426.0,372.0
53.0,91.0,1486215.0,160533.0,13957.0,59511.0,28352.0,22157.0,32586.0,11942.0
40.0,100.0,503020.0,106842.0,82439.0,65391.0,24268.0,22825.0,3850.0,3520.0
41.0,83.0,1795481.0,943257.0,142642.0,178902.0,264151.0,179316.0,61837.0,17123.0
57.0,90.0,729984.0,36647.0,15772.0,94079.0,57460.0,67523.0,19919.0,2003.0
57.0,90.0,3235181.0,950447.0,444697.0,470217.0,196028.0,600734.0,79992.0,23168.0
57.0,90.0,153075.0,25323.0,45884.0,28069.0,53851.0,10244.0,7388.0,2007.0
57.0,90.0,999108.0,37902.0,9617.0,8434.0,4669.0,2263.0,792.0,410.0
57.0,90.0,1091639.0,73188.0,30266.0,30253.0,112821.0,23705.0,11471.0,4376.0
67.0,90.0,452559.0,122720.0,72183.0,14529.0,71709.0,49305.0,20579.0,7101.0
75.0,78.0,1146646.0,34303.0,6622.0,27017.0,33198.0,14706.0,3666.0,435.0
74.0,81.0,832471.0,105612.0,20676.0,21010.0,5191.0,14644.0,2563.0,1864.0
