attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma
1.0,17.0,716500.0,421985.0,57030.0,17623.0,35828.0,6450.0,6351.543597014242,4507.047819216975
1.0,29.0,64145.0,30967.0,8094.0,20667.0,1958.0,953.0,569.5433850925846,436.44277061855524
1.0,29.0,1013667.0,232562.0,31903.0,19945.0,20924.0,12212.0,6765.998626005912,6204.358605868853
1.0,53.0,281056.0,27000.0,54973.0,9694.0,2445.0,4739.0,1382.5433088339078,905.443356986907
10.0,54.0,717230.0,48236.0,7858.0,7060.0,10796.0,7340.0,4893.386693258892,2582.1373758669074
14.0,40.0,1145170.0,111496.0,17190.0,12992.0,8313.0,3806.0,2900.083296090573,2560.7735086854423
10.0,41.0,207736.0,183562.0,21396.0,17377.0,8135.0,5369.0,2457.017729719167,1783.423223752263
10.0,29.0,718692.0,79720.0,31351.0,33668.0,13698.0,7504.0,5185.353457430256,4197.311330578772
1.0,40.0,211954.0,25143.0,7330.0,7259.0,3875.0,995.0,838.0766577759681,431.7235193387193
1.0,24.0,404777.0,397279.0,9097.0,9501.0,2480.0,6986.0,2065.898176834812,1532.0243370816136
1.0,38.0,854254.0,150478.0,62449.0,16442.0,3841.0,5918.0,2315.916884992177,1733.4701556354332
1.0,40.0,291238.0,104507.0,68914.0,25745.0,14567.0,6559.0,4383.209699725485,3210.7691219548897
1.0,24.0,781129.0,274854.0,14807.0,15125.0,22700.0,9884.0,7835.1351289901895,4701.009005718004
8.0,48.0,252028.0,91647.0,15580.0,35852.0,8207.0,15990.0,6746.110623927768,5169.791538991601
7.0,41.0,605406.0,834478.0,227423.0,9895.0,36072.0,28336.0,12906.964092114142,10221.25080364577
13.0,35.0,123835.0,30175.0,7198.0,6777.0,1394.0,2740.0,767.4787969948992,621.8050621703144
14.0,47.0,1799744.0,646361.0,126296.0,58911.0,34171.0,35763.0,20335.078608409698,11898.145502016836
14.0,38.0,114680.0,31996.0,5683.0,1084.0,779.0,4085.0,1075.378231655695,814.9101494168102
38.0,38.0,242790.0,82274.0,14190.0,37576.0,39476.0,53174.0,24479.936567306788,23636.627662650128
54.0,38.0,1854331.0,70838.0,30688.0,22127.0,10644.0,55200.0,11563.502626820871,6874.235622467729
63.0,40.0,634394.0,99470.0,33900.0,22414.0,39970.0,19389.0,11967.977460015618,7010.680347714792
87.0,40.0,42504.0,6230.0,4570.0,2007.0,11164.0,19288.0,6721.949317243767,5026.413401857951
80.0,38.0,104623.0,34045.0,7480.0,3947.0,7246.0,7239.0,3771.1804572941096,3076.550342577075
69.0,35.0,134305.0,28784.0,2855.0,8101.0,7502.0,5188.0,3062.761627463858,2767.1891146266935
80.0,26.0,33947.0,19071.0,4189.0,1927.0,8725.0,8392.0,4093.381067395984,4424.223202505705
60.0,43.0,491980.0,25250.0,25696.0,7393.0,3740.0,10787.0,3368.019157070376,1953.4441800599889
63.0,27.0,74116.0,31418.0,1642.0,1156.0,5149.0,7674.0,2478.858009515153,1902.6378921860032
57.0,35.0,779256.0,124970.0,62327.0,26045.0,25396.0,19836.0,10660.28082167838,8527.798983512299
30.0,29.0,204994.0,118856.0,3638.0,7327.0,2213.0,1809.0,1063.1674484871235,733.3771078466166
16.0,7.0,1817348.0,1226319.0,106405.0,18275.0,20390.0,43075.0,11870.576608020301,5791.90822140294
