attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma
56.0,97.0,22761.0,8540.0,19588.0,4990.0,10506.0,13941.0,2554.0,1986.0
56.0,100.0,23681.0,15905.0,16076.0,8366.0,2355.0,9605.0,2478.0,1681.0
61.0,93.0,30307.0,15946.0,1647.0,14553.0,8701.0,11222.0,4539.0,2794.0
51.0,67.0,23486.0,31390.0,1702.0,5140.0,6094.0,5918.0,2480.0,1146.0
43.0,61.0,17418.0,15325.0,5143.0,10009.0,8518.0,6968.0,5779.0,2441.0
50.0,60.0,5890.0,4451.0,11174.0,4046.0,8863.0,7269.0,3311.0,1978.0
61.0,51.0,95220.0,13962.0,6441.0,1902.0,1286.0,1896.0,1920.0,545.0
64.0,67.0,23943.0,2243.0,12063.0,2450.0,4625.0,6625.0,7177.0,2823.0
53.0,77.0,74210.0,13355.0,3087.0,4614.0,970.0,2958.0,4238.0,1217.0
48.0,84.0,23222.0,9141.0,5379.0,6471.0,7854.0,6392.0,9926.0,2518.0
67.0,83.0,24323.0,18599.0,14758.0,3958.0,8598.0,17198.0,5244.0,6997.0
75.0,61.0,348749.0,17372.0,6351.0,4060.0,18536.0,16245.0,4693.0,1530.0
81.0,70.0,39530.0,19833.0,9181.0,36532.0,13083.0,15835.0,8031.0,4506.0
93.0,66.0,91889.0,4934.0,2511.0,1634.0,2663.0,6570.0,1616.0,448.0
91.0,66.0,11804.0,8853.0,6442.0,3510.0,4364.0,7811.0,6196.0,3973.0
80.0,77.0,23416.0,15079.0,3233.0,8075.0,6152.0,6594.0,2758.0,2346.0
87.0,57.0,18595.0,25619.0,8211.0,3826.0,6486.0,14882.0,8454.0,1813.0
80.0,57.0,57588.0,25303.0,8140.0,8446.0,7358.0,17944.0,5191.0,2983.0
74.0,57.0,9511.0,26081.0,14335.0,4710.0,5977.0,10331.0,6075.0,1386.0
80.0,66.0,4523.0,5607.0,7826.0,6614.0,5862.0,7779.0,6021.0,1469.0
78.0,75.0,6852.0,12850.0,10552.0,5754.0,10535.0,10295.0,11962.0,2815.0
83.0,64.0,14270.0,9896.0,2636.0,2078.0,8731.0,8638.0,3905.0,2951.0
100.0,63.0,14911.0,3477.0,4064.0,3540.0,4490.0,10894.0,5135.0,4609.0
100.0,50.0,11266.0,3578.0,5379.0,3559.0,5793.0,22192.0,5563.0,1371.0
100.0,41.0,30073.0,23470.0,4798.0,5430.0,3215.0,11335.0,6808.0,1712.0
87.0,51.0,54644.0,26123.0,5154.0,8993.0,4559.0,5352.0,4822.0,6419.0
63.0,44.0,4329.0,31911.0,5113.0,5434.0,6228.0,8666.0,6038.0,2372.0
35.0,47.0,181945.0,19031.0,8024.0,958.0,5542.0,3344.0,15617.0,2951.0
37.0,47.0,9291.0,17427.0,2417.0,3741.0,2814.0,8215.0,5080.0,1734.0
57.0,50.0,13122.0,3540.0,2267.0,5307.0,1844.0,9932.0,3197.0,2410.0
63.0,54.0,24050.0,15859.0,3783.0,7329.0,4975.0,8825.0,9010.0,2312.0
69.0,53.0,28817.0,40934.0,11792.0,4586.0,5479.0,14159.0,5162.0,3515.0
70.0,64.0,6247.0,7210.0,11295.0,4325.0,11466.0,10075.0,4025.0,4294.0
70.0,50.0,14738.0,7087.0,1064.0,2506.0,4263.0,9461.0,3752.0,2750.0
