attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma
100.0,88.0,6888.0,17392.0,22780.0,22389.0,16045.0,9704.0,6209.320102627981,5188.571825523193
93.0,75.0,99531.0,9790.0,367.0,5944.0,1204.0,1529.0,777.1742370005157,508.370884871711
80.0,88.0,10285.0,15011.0,46009.0,33154.0,6015.0,5436.0,2667.126587348114,1320.51546306344
81.0,74.0,32562.0,16501.0,6708.0,7449.0,4575.0,5615.0,2865.360897019,2110.475087554387
75.0,87.0,18480.0,11837.0,43183.0,74351.0,3270.0,13341.0,3619.424037444893,2414.726982893563
75.0,100.0,814150.0,28863.0,13050.0,72628.0,7584.0,9077.0,3163.341280269396,2028.0486362487507
80.0,81.0,572761.0,85432.0,18266.0,72566.0,24113.0,13877.0,8523.770525326812,5009.25954005444
51.0,100.0,8207.0,26667.0,137208.0,71221.0,11651.0,6246.0,4102.293230223415,3103.660174397065
37.0,84.0,13736.0,44386.0,28236.0,11892.0,12498.0,3528.0,4441.881216864183,3217.880398882785
40.0,77.0,27368.0,24534.0,4150.0,35218.0,10976.0,6789.0,4395.38912477495,3030.9617597465117
43.0,87.0,339299.0,48874.0,32637.0,98724.0,9462.0,16920.0,4166.0646032797795,2900.7810297751803
74.0,54.0,30618.0,94111.0,1713.0,26694.0,7037.0,22938.0,5956.986711837751,6224.180772782386
100.0,56.0,11957.0,10007.0,18537.0,5089.0,5620.0,11103.0,3892.789603608466,2889.293172818413
97.0,54.0,195474.0,20458.0,9365.0,10120.0,3166.0,3758.0,2154.7221460227665,1155.7607993238437
88.0,61.0,11477.0,24926.0,29265.0,97297.0,4344.0,9169.0,3920.6956228561567,3157.2210129903483
81.0,81.0,7711.0,16595.0,22149.0,29058.0,6033.0,9645.0,3989.9060468277653,2284.9623621081582
60.0,84.0,364660.0,36133.0,13454.0,38220.0,3705.0,5281.0,2720.901199732988,1370.6290864093041
53.0,84.0,555706.0,70977.0,34123.0,36762.0,17954.0,7773.0,6444.06677641763,6487.008668782224
74.0,64.0,33693.0,18825.0,10801.0,4984.0,3109.0,8967.0,2487.3370769644807,1543.935686353287
63.0,41.0,123313.0,10225.0,1277.0,596.0,971.0,768.0,498.5930599648955,313.8710165949195
66.0,34.0,501231.0,94846.0,36694.0,31899.0,26465.0,11655.0,6745.066565896634,4786.291252190799
48.0,29.0,635531.0,145995.0,35523.0,44282.0,5504.0,3613.0,1836.5777614933866,1407.3749387016348
20.0,23.0,416134.0,138626.0,4989.0,38613.0,4611.0,6370.0,2215.0016015657066,2031.136127616984
