attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta
43.0,37.0,129508.0,60079.0,25653.0,4937.0,9921.0,4933.0
43.0,47.0,129362.0,83367.0,11282.0,21572.0,16300.0,18292.0
50.0,57.0,213358.0,21360.0,5470.0,22967.0,5977.0,4453.0
51.0,61.0,106856.0,24134.0,4723.0,2817.0,2153.0,4225.0
54.0,54.0,2003888.0,313799.0,23692.0,41506.0,23014.0,25221.0
48.0,60.0,455388.0,31630.0,12266.0,5259.0,2560.0,3795.0
54.0,53.0,701872.0,25637.0,12544.0,2006.0,1592.0,6935.0
51.0,53.0,54911.0,11130.0,1575.0,1835.0,1695.0,1468.0
50.0,56.0,56125.0,68133.0,9163.0,9864.0,3579.0,4225.0
43.0,48.0,257770.0,70195.0,6635.0,8233.0,2715.0,2966.0
35.0,34.0,509365.0,671984.0,44700.0,16476.0,25149.0,48524.0
24.0,35.0,1769195.0,202473.0,52229.0,14457.0,27926.0,8099.0
24.0,48.0,1825573.0,304278.0,460722.0,23504.0,70406.0,41512.0
26.0,50.0,207339.0,63520.0,8437.0,6830.0,845.0,3202.0
16.0,51.0,1105085.0,1984750.0,146245.0,74532.0,43496.0,38808.0
27.0,48.0,22328.0,9041.0,1163.0,941.0,694.0,1312.0
37.0,29.0,520757.0,45574.0,3683.0,4755.0,6261.0,8088.0
38.0,37.0,134029.0,61531.0,15854.0,19454.0,3033.0,5507.0
54.0,43.0,1919991.0,200159.0,31991.0,19731.0,29897.0,29383.0
56.0,47.0,47375.0,6339.0,1649.0,3398.0,6476.0,1986.0
43.0,54.0,1209890.0,46722.0,8561.0,12727.0,6715.0,1978.0
40.0,51.0,956369.0,620644.0,177098.0,48146.0,29828.0,27286.0
24.0,57.0,1618214.0,704122.0,209852.0,67226.0,35575.0,16545.0
23.0,60.0,40063.0,48337.0,27328.0,960.0,7543.0,11502.0
53.0,56.0,28229.0,13084.0,10595.0,8085.0,9100.0,46653.0
64.0,48.0,120699.0,32128.0,3132.0,1638.0,1530.0,6027.0
81.0,43.0,475179.0,30478.0,7166.0,2789.0,8271.0,5721.0
83.0,44.0,16020.0,24547.0,26832.0,7156.0,28268.0,15030.0
60.0,51.0,485681.0,73107.0,47871.0,38722.0,83059.0,11250.0
64.0,61.0,71313.0,19627.0,18850.0,1369.0,19729.0,11587.0
64.0,54.0,566578.0,301544.0,33086.0,10863.0,33874.0,49329.0
56.0,54.0,148115.0,9650.0,2024.0,5051.0,1513.0,1475.0
54.0,51.0,752372.0,324467.0,27851.0,96403.0,31942.0,22592.0
41.0,43.0,1129679.0,128371.0,8193.0,15145.0,21908.0,9067.0
41.0,40.0,1201607.0,178812.0,9028.0,7791.0,11215.0,27129.0
40.0,24.0,72402.0,164967.0,6492.0,9920.0,12425.0,12576.0
43.0,17.0,1513722.0,214935.0,38965.0,10866.0,22834.0,23175.0
50.0,34.0,1163510.0,670340.0,431151.0,200614.0,55103.0,155689.0
50.0,34.0,1067010.0,28584.0,13219.0,17144.0,15749.0,10290.0
43.0,50.0,2247747.0,268601.0,114834.0,68361.0,85802.0,30603.0
41.0,54.0,2071755.0,167259.0,9172.0,27113.0,36926.0,10234.0
