attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta
3.0,48.0,399655.0,444731.0,69094.0,72959.0,58569.0,20530.0
14.0,53.0,1115835.0,44619.0,2453.0,10147.0,14182.0,18638.0
23.0,54.0,1551895.0,186724.0,17516.0,17728.0,21386.0,28057.0
21.0,50.0,622580.0,177706.0,34926.0,12131.0,5962.0,14935.0
23.0,64.0,690828.0,17695.0,15654.0,10501.0,3287.0,2495.0
8.0,67.0,396992.0,192714.0,19543.0,21524.0,10979.0,9204.0
4.0,84.0,801611.0,49904.0,39323.0,10372.0,4032.0,7948.0
10.0,94.0,315288.0,52750.0,33899.0,6917.0,8300.0,11404.0
16.0,67.0,68651.0,19392.0,1373.0,750.0,2938.0,3466.0
29.0,70.0,68521.0,31817.0,5870.0,9063.0,4415.0,11119.0
37.0,64.0,96700.0,11777.0,567.0,7104.0,3012.0,4357.0
47.0,63.0,9799.0,6296.0,6539.0,3921.0,7726.0,7625.0
57.0,83.0,3375.0,5622.0,8509.0,5927.0,4182.0,18353.0
50.0,69.0,346996.0,214731.0,5319.0,18201.0,19655.0,15935.0
44.0,75.0,74186.0,9832.0,1640.0,5543.0,1226.0,2152.0
40.0,75.0,79061.0,66014.0,45102.0,13722.0,16994.0,29095.0
23.0,57.0,702951.0,101094.0,5304.0,11812.0,19718.0,11096.0
50.0,63.0,4473.0,3823.0,1018.0,1904.0,549.0,17000.0
44.0,56.0,120052.0,189709.0,51163.0,16980.0,7920.0,15938.0
43.0,40.0,450693.0,46082.0,4037.0,3660.0,6067.0,10164.0
60.0,54.0,50731.0,10052.0,14340.0,2963.0,4479.0,24370.0
38.0,69.0,172284.0,20905.0,10611.0,7143.0,5952.0,5044.0
44.0,84.0,9175.0,26681.0,28183.0,58710.0,15061.0,17301.0
41.0,100.0,3073202.0,73928.0,45314.0,7260.0,16790.0,14746.0
20.0,96.0,359892.0,293534.0,47433.0,66423.0,63054.0,15821.0
21.0,100.0,336543.0,14455.0,15821.0,9174.0,5232.0,6063.0
16.0,77.0,37053.0,19008.0,274.0,2222.0,1148.0,1721.0
13.0,78.0,706443.0,13539.0,9438.0,2196.0,3326.0,2234.0
20.0,77.0,218456.0,101047.0,18549.0,10425.0,8628.0,13156.0
20.0,50.0,250605.0,41359.0,2401.0,2341.0,5512.0,6617.0
29.0,64.0,8776.0,12158.0,7353.0,12420.0,12255.0,12551.0
35.0,60.0,100194.0,10427.0,3373.0,1516.0,1076.0,2620.0
53.0,48.0,3977.0,11294.0,1998.0,1763.0,14670.0,19012.0
64.0,69.0,25596.0,3275.0,4817.0,3161.0,2530.0,7439.0
53.0,66.0,614449.0,83394.0,31719.0,4227.0,7163.0,8286.0
41.0,74.0,1030422.0,129628.0,20857.0,4468.0,5427.0,9820.0
20.0,44.0,932286.0,917079.0,32727.0,11165.0,9718.0,33041.0
29.0,40.0,104480.0,11963.0,2504.0,1711.0,2824.0,3937.0
23.0,41.0,254588.0,48802.0,2214.0,34047.0,24836.0,22086.0
26.0,37.0,772961.0,274001.0,5260.0,30132.0,14841.0,34270.0
29.0,57.0,230490.0,35984.0,8968.0,5429.0,7316.0,2669.0
24.0,67.0,142054.0,27602.0,18237.0,3482.0,2178.0,5736.0
20.0,69.0,114537.0,82085.0,34451.0,14323.0,9228.0,18701.0
34.0,87.0,3827.0,9356.0,3571.0,11897.0,2873.0,16416.0
38.0,93.0,80967.0,93360.0,51021.0,20136.0,8759.0,20025.0
38.0,88.0,879001.0,67366.0,17963.0,12040.0,8515.0,10427.0
41.0,80.0,856542.0,111293.0,20188.0,11639.0,14416.0,29543.0
43.0,78.0,30280.0,8105.0,4207.0,16226.0,10836.0,25748.0
40.0,66.0,354464.0,37390.0,9178.0,268.0,4865.0,3277.0
43.0,70.0,214925.0,37323.0,25337.0,12419.0,18096.0,14624.0
47.0,70.0,21613.0,22506.0,7316.0,1110.0,5457.0,11356.0
41.0,61.0,2197.0,8431.0,921.0,2169.0,3282.0,5154.0
47.0,57.0,1088001.0,25870.0,1497.0,3931.0,3565.0,4685.0
47.0,56.0,233505.0,56253.0,20906.0,23149.0,18292.0,17940.0
26.0,53.0,291767.0,522051.0,74559.0,29579.0,22954.0,14178.0
8.0,47.0,1184435.0,646131.0,45258.0,27088.0,84895.0,21621.0
3.0,40.0,161848.0,101243.0,7422.0,1486.0,3118.0,7403.0
1.0,29.0,344396.0,65138.0,5265.0,9352.0,4910.0,8205.0
14.0,37.0,2693148.0,133473.0,67386.0,5398.0,38520.0,44352.0
27.0,60.0,203877.0,20959.0,31642.0,4903.0,12577.0,13050.0
43.0,70.0,315806.0,34600.0,11329.0,5984.0,10234.0,24760.0
51.0,70.0,6372.0,23024.0,807.0,6256.0,2951.0,10453.0
56.0,69.0,29184.0,34841.0,8028.0,9237.0,16819.0,21798.0
44.0,56.0,728588.0,153137.0,16742.0,26124.0,31216.0,7238.0
27.0,53.0,957050.0,157071.0,27300.0,10739.0,30496.0,9954.0
14.0,61.0,728035.0,140912.0,39636.0,21949.0,17591.0,11687.0
1.0,57.0,794581.0,278918.0,38900.0,21042.0,9004.0,21601.0
1.0,64.0,263944.0,242016.0,100520.0,8962.0,14962.0,7710.0
1.0,69.0,251839.0,273997.0,73830.0,19372.0,9604.0,9063.0
1.0,66.0,310451.0,74057.0,9690.0,16133.0,10472.0,8681.0
1.0,56.0,382826.0,237482.0,13252.0,10955.0,5352.0,4588.0
13.0,57.0,14767.0,3785.0,9580.0,6568.0,10472.0,19427.0
21.0,54.0,251568.0,86638.0,14300.0,10544.0,11401.0,8757.0
43.0,43.0,14139.0,14197.0,3417.0,1765.0,10283.0,34360.0
67.0,69.0,25289.0,4313.0,11316.0,11168.0,2848.0,15174.0
51.0,64.0,743652.0,22569.0,5570.0,6214.0,7506.0,3375.0
50.0,77.0,662079.0,195076.0,142229.0,20709.0,42032.0,24597.0
26.0,97.0,85539.0,13595.0,9348.0,1222.0,1202.0,1567.0
14.0,69.0,29426.0,17214.0,618.0,881.0,895.0,2032.0
