attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta
57.0,44.0,282908.0,75811.0,8002.0,7750.0,9925.0,22605.0
64.0,21.0,98640.0,155196.0,20072.0,4071.0,23256.0,35920.0
69.0,16.0,78202.0,60131.0,5572.0,30729.0,13054.0,27416.0
61.0,24.0,151752.0,46112.0,10609.0,12189.0,8915.0,4849.0
51.0,38.0,720435.0,77840.0,23227.0,18296.0,15270.0,9809.0
53.0,54.0,1334801.0,45042.0,12543.0,26136.0,26864.0,23690.0
51.0,43.0,51912.0,84374.0,5816.0,13972.0,16863.0,23007.0
53.0,37.0,1060475.0,70126.0,12493.0,4802.0,5981.0,6165.0
54.0,41.0,84047.0,20587.0,12183.0,7202.0,4743.0,3931.0
51.0,35.0,735223.0,100799.0,24460.0,8800.0,10469.0,25573.0
44.0,35.0,151842.0,38653.0,2113.0,4478.0,3551.0,5441.0
44.0,30.0,306021.0,218067.0,34881.0,7942.0,11704.0,17315.0
47.0,23.0,184623.0,13794.0,4363.0,3321.0,9073.0,2985.0
43.0,37.0,25269.0,10045.0,11882.0,2924.0,4388.0,3004.0
44.0,60.0,74590.0,40481.0,54527.0,16131.0,19875.0,17139.0
61.0,74.0,15914.0,4378.0,3527.0,2359.0,2283.0,4692.0
64.0,88.0,69537.0,23403.0,41051.0,8036.0,11186.0,14454.0
63.0,80.0,216672.0,79440.0,25076.0,19575.0,8381.0,12710.0
61.0,66.0,33133.0,48786.0,11338.0,12089.0,23585.0,8894.0
54.0,66.0,233610.0,58614.0,34674.0,11388.0,15807.0,18800.0
48.0,54.0,67521.0,81746.0,14994.0,28659.0,10394.0,14067.0
50.0,64.0,15546.0,27716.0,20398.0,27024.0,15645.0,8520.0
51.0,66.0,195489.0,74386.0,13494.0,22723.0,15500.0,15934.0
54.0,63.0,12054.0,24613.0,4915.0,12107.0,10044.0,12210.0
53.0,67.0,245023.0,132676.0,64563.0,36650.0,22170.0,23230.0
47.0,44.0,158769.0,45567.0,1578.0,5303.0,4096.0,2429.0
54.0,57.0,30308.0,20591.0,21592.0,60415.0,13255.0,41446.0
44.0,51.0,43218.0,125099.0,17901.0,16801.0,11139.0,12436.0
48.0,51.0,140086.0,14508.0,1551.0,12482.0,4301.0,3973.0
54.0,75.0,147593.0,17397.0,9354.0,12728.0,2724.0,3971.0
38.0,77.0,457528.0,98958.0,101050.0,50846.0,4675.0,14958.0
51.0,78.0,131399.0,55349.0,16818.0,7614.0,12358.0,27546.0
51.0,67.0,109113.0,32046.0,6134.0,5255.0,3793.0,6864.0
50.0,53.0,64054.0,6991.0,308.0,1784.0,1268.0,808.0
51.0,48.0,68740.0,56060.0,53507.0,12253.0,19827.0,9062.0
43.0,48.0,1812546.0,69238.0,13862.0,21382.0,51371.0,13231.0
48.0,56.0,1131548.0,95871.0,18846.0,90269.0,56353.0,54140.0
51.0,67.0,487943.0,28319.0,14893.0,14407.0,10224.0,8497.0
67.0,53.0,78189.0,33702.0,16529.0,10585.0,46164.0,24663.0
74.0,57.0,57555.0,38303.0,13689.0,19463.0,41992.0,16842.0
67.0,60.0,265353.0,38958.0,28019.0,20829.0,25712.0,13875.0
63.0,53.0,63475.0,36910.0,9674.0,5042.0,3349.0,3870.0
53.0,67.0,915545.0,20198.0,15350.0,12065.0,3381.0,5840.0
48.0,64.0,719106.0,102671.0,30866.0,17010.0,30895.0,24525.0
43.0,57.0,216688.0,124211.0,36818.0,24296.0,30715.0,16784.0
48.0,57.0,63614.0,17582.0,6883.0,1380.0,4112.0,3409.0
50.0,56.0,10728.0,4945.0,3480.0,8422.0,6704.0,2762.0
47.0,53.0,111820.0,143112.0,15189.0,25478.0,13077.0,18550.0
47.0,67.0,2039633.0,81350.0,90991.0,63300.0,25597.0,23612.0
